ID,תאריך הגשת הבקשה,מס' סימוכין,חברה,סוג  היתר,מספר האתר,ישוב,כתובת + תאור,סוג המוקד,X_ITM,Y_ITM,תחום שיפוט
24,1/5/2023,2064697,סלקום,היתר הקמה,21582,קריית ארבע,היכל התרבות ברחוב מעלות חברון בקרית ארבע,תורן על הגג,211443,604042,קרית ארבע
25,1/5/2023,2064698,סלקום,היתר הקמה,22987,חריש,הגפן 78 מועצה מקומית חריש,תורן על הגג,204133,707230,קציר חריש
26,1/9/2023,2064693,PHI (משרת את הוט ופרטנר),היתר הקמה,WR8093B,מודיעין,מרכז לוגיסטי שופרסל אמיגה,פנימי,197599,647462,מודיעין מכבים רעות
27,1/11/2023,2064792,פלאפון,היתר הקמה,354223,רמת גן,בניין אשפוז בית חולים שיבא תל השומר,תורן על מבנה,185327,661467,רמת גן
28,15/01/2023,2064830,סלקום,היתר הקמה,22922,ירושלים,עמוד תאורה עירוני ליד מסוף אגד בירושלים,תורן קרקעי,218205,628375,ירושלים
29,16/01/2023,2064745,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2090D,ירושלים,ראס אל עמוד,מתקן גישה,223525,630678,ירושלים
30,17/01/2023,2064849,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5551B,מודיעין עילית,שער המלך,קרקעי,204191,648856,מודיעין עילית
31,17/01/2023,2064859,פלאפון,היתר הקמה,712653,נתיבות,מתחם   קבר הבאבא סאלי,עוקצים,160649,593315,נתיבות
32,18/01/2023,2064864,PHI (משרת את הוט ופרטנר),היתר הקמה,CW60036007,תל אביב-יפו,הבימה,קרקעי,179298,664455,תל אביב יפו
33,22/01/2023,2064909,פלאפון,היתר הקמה,750119,מ.א הערבה התיכונה,מגדל צינון באיזור חממות המחקר החקלאי במרכז ויידור חצבה,משתפלות,222895,520916,הערבה התיכונה
34,23/01/2023,2064951,סלקום,היתר הקמה,22198,קרית אתא,צפונית לכביש 22 דרומית לאיצטדיון אתלטיקה,תורן קרקעי,207530,746273,קרית אתא
35,25/01/2023,2064976,פלאפון,היתר הקמה,360694,ראשון לציון,רחבעם זאבי 1,פריסה פנימית,176814,655040,ראשון לציון
36,29/01/2023,2065043,פלאפון,היתר הקמה,820790,גדרה,ארבע אמהות,תורן קרקעי,180461,634927,גדרה
37,2/1/2023,2064899,PHI (משרת את הוט ופרטנר),היתר הקמה,COW6001,תל אביב,צומת בגין קפלן 2,קרקעי,180295,664276,תל אביב יפו
38,2/1/2023,2065167,פלאפון,היתר הקמה,344037,בני ברק,כביש 4 צומת גהה,תורן קרקעי,185572,665861,בני ברק
39,2/1/2023,2065094,PHI (משרת את הוט ופרטנר),היתר הקמה,WR8840B,תל אביב-יפו,מתחם גולף אקרו נדלן נאות אפקה,פנימי,183527,668997,תל אביב יפו
40,2/6/2023,2065142,פלאפון,היתר הקמה,321011,תל אביב יפו,קהילת סלוניקי,פריסה פנימית,183527,668997,תל אביב יפו
41,2/6/2023,2065147,פלאפון,היתר הקמה,820790,גדרה,ארבע אמהות,תורן קרקעי,180461,634927,גדרה
42,2/8/2023,2065205,פלאפון,היתר הקמה,711872,באר שבע,ביאליק 24 באר שבע קומה 10 דירה 59,עוקצים,180141,573752,באר שבע
43,13/02/2023,2065294,סלקום,היתר הקמה,23184,תל אביב - יפו,במתחם גולף אקרו נדלן רח`` קהילת סלוניקי 7 נאות אפקה תל אביב,אתר זעיר פנימי,183527,668997,תל אביב יפו
45,14/02/2023,2065311,סלקום,היתר הקמה,21800,אריאל,מסוף התחבורה בסמוך לתחנת משטרה באריאל,תורן קרקעי,220049,667624,אריאל
46,14/02/2023,2065315,סלקום,היתר הקמה,23152,חוף השרון,במתחם של  DATA CENTER  אנשי בראשית 1 בני ציון,אתר זעיר פנימי,176814,655040,ראשון לציון
47,15/02/2023,2065330,פלאפון,היתר הקמה,550418,ראש העין,תחנת שאיבה פסגות אפק ראש העין,תורן קרקעי,197500,665007,ראש העין
48,19/02/2023,2065390,סלקום,היתר הקמה,22771,מורדות הכרמל,בסמוך לבריכת מים ברחוב מעלה הנוף בטירת כרמל,תורן קרקעי,198130,741157,טירת כרמל
50,19/02/2023,2065365,פלאפון,היתר הקמה,654833,אום אל פחם,רח' העאמן,פריסה פנימית,214342,715577,אום אל פחם
51,21/02/2023,2065421,סלקום,היתר הקמה,23157,רחובות,פארק גב ים רח``  פייקס 5 רחובות,אתר זעיר פנימי,182118,646892,רחובות
52,22/02/2023,2065439,פלאפון,היתר הקמה,814202,רחובות,פייקס  5,פריסה פנימית,182118,646892,רחובות
53,22/02/2023,2065437,פלאפון,היתר הקמה,361001,בת ים,הרב ניסנבאום 37,פריסה פנימית,176725,657884,בת ים
54,23/02/2023,2065467,סלקום,היתר הקמה,23031,ירושלים,ברחוב גולומב פינת דרך קוליץ בירושלים,תורן קרקעי,217333,629330,ירושלים
55,23/02/2023,2065466,סלקום,היתר הקמה,5341,תל אביב,רובע לב העיר רח`` בלפור 8 תל אביב,אתר זעיר פנימי,178626,663859,תל אביב יפו
56,26/02/2023,2065542,פלאפון,היתר הקמה,824335,גדרה,משה ויהודית רוזנר  5,לא מוגדר,178546,634942,גדרה
